expNumber,#,datetime,ms,Net_Sent,pgpgin,Tcp_Established,pgmajfault,OperatingSystemImpl.ProcessCpuLoad,OperatingSystemImpl.FreeSwapSpaceSize,pgalloc_dma,OperatingSystemImpl.FreePhysicalMemorySize,Cached,pgfault,Buffers,nr_active_file,nr_inactive_file,Inactive,Tcp_Listen,Net_Received,Tcp_TimeWait,Tcp_Syn,pgdeactivate,Tcp_Close,SwapFree,pgfree,Active,OperatingSystemImpl.CommittedVirtualMemorySize,MemFree,pgpgout,OperatingSystemImpl.ProcessCpuTime,pgactivate
1,26,Tue Apr 18 11:20:13 CEST 2017,1492507213859,0,930857,0,4443,0.0,733593600,13613,185688064,182304,1473373,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47152299,1291936,2548830208,181336,320416,2680000000,167558
1,27,Tue Apr 18 11:20:13 CEST 2017,1492507213959,0,930857,0,4443,0.2,733593600,13613,185688064,182304,1473562,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47152435,1291936,2548830208,181336,320416,2700000000,167558
1,28,Tue Apr 18 11:20:14 CEST 2017,1492507214059,0,930857,0,4443,0.2222222222222222,733593600,13613,185688064,182304,1473751,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47152765,1291980,2548830208,181336,320416,2720000000,167558
1,29,Tue Apr 18 11:20:14 CEST 2017,1492507214159,0,930857,0,4443,0.09090909090909091,733593600,13613,185688064,182304,1473938,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47155793,1291980,2548830208,181336,320416,2730000000,167558
1,30,Tue Apr 18 11:20:14 CEST 2017,1492507214259,0,930857,0,4443,0.2222222222222222,733593600,13613,185688064,182296,1474124,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47155933,1291976,2548830208,181336,320472,2750000000,167560
1,31,Tue Apr 18 11:20:14 CEST 2017,1492507214359,0,930857,0,4443,0.2222222222222222,733593600,13613,185688064,182296,1474310,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47156074,1292020,2548830208,181336,320472,2770000000,167560
1,32,Tue Apr 18 11:20:14 CEST 2017,1492507214459,0,930857,0,4443,0.1111111111111111,733593600,13613,185688064,182296,1474492,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47156214,1292020,2548830208,181336,320472,2780000000,167560
1,33,Tue Apr 18 11:20:14 CEST 2017,1492507214559,0,930857,0,4443,0.7,733593600,13613,185688064,182296,1474683,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47156355,1292020,2548830208,181336,320472,2850000000,167560
1,34,Tue Apr 18 11:20:14 CEST 2017,1492507214659,0,930857,0,4443,0.2222222222222222,733593600,13613,185688064,182296,1474865,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47156585,1292020,2548830208,181336,320472,2870000000,167560
1,35,Tue Apr 18 11:20:14 CEST 2017,1492507214759,0,930857,0,4443,0.1,733593600,13613,185561088,182296,1475053,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47159708,1292064,2548830208,181212,320472,2880000000,167560
1,36,Tue Apr 18 11:20:14 CEST 2017,1492507214859,0,930857,0,4443,0.0,733593600,13613,185561088,182296,1475236,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47159851,1292064,2548830208,181212,320472,2880000000,167560
1,37,Tue Apr 18 11:20:14 CEST 2017,1492507214959,0,930857,0,4443,0.1,733593600,13613,185561088,182296,1475417,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47159992,1292064,2548830208,181212,320472,2890000000,167560
1,38,Tue Apr 18 11:20:15 CEST 2017,1492507215059,0,930857,0,4443,0.0,733593600,13613,185561088,182296,1475603,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47160134,1292064,2548830208,181212,320476,2890000000,167560
1,39,Tue Apr 18 11:20:15 CEST 2017,1492507215159,0,930857,0,4443,0.09090909090909091,733593600,13613,185561088,182296,1475788,10940,29354,15167,447012,4,0,0,0,247674,0,716400,47160274,1292064,2548830208,181212,320476,2900000000,167560
1,40,Tue Apr 18 11:20:15 CEST 2017,1492507215259,0,930857,0,4443,0.1111111111111111,733593600,13613,185561088,182300,1475975,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47160508,1292072,2548830208,181212,320476,2910000000,167560
1,41,Tue Apr 18 11:20:15 CEST 2017,1492507215359,0,930857,0,4443,0.1111111111111111,733593600,13613,185561088,182300,1476161,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47163633,1292072,2548830208,181212,320476,2920000000,167560
1,42,Tue Apr 18 11:20:15 CEST 2017,1492507215459,0,930857,0,4443,0.0,733593600,13613,185561088,182300,1476347,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47163773,1292116,2548830208,181212,320476,2920000000,167560
1,43,Tue Apr 18 11:20:15 CEST 2017,1492507215559,0,930857,0,4443,0.1111111111111111,733593600,13613,185561088,182300,1476538,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47163911,1292116,2548830208,181212,320476,2930000000,167560
1,44,Tue Apr 18 11:20:15 CEST 2017,1492507215659,0,930857,0,4443,0.1,733593600,13613,185561088,182300,1476726,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47164050,1292116,2548830208,181212,320476,2940000000,167560
1,45,Tue Apr 18 11:20:15 CEST 2017,1492507215759,0,930857,0,4443,0.125,733593600,13613,185561088,182300,1476910,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47164192,1292116,2548830208,181212,320476,2950000000,167560
1,46,Tue Apr 18 11:20:15 CEST 2017,1492507215859,0,930857,0,4443,0.08333333333333333,733593600,13613,185561088,182300,1477093,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47164425,1292160,2548830208,181212,320476,2960000000,167560
1,47,Tue Apr 18 11:20:15 CEST 2017,1492507215959,0,930857,0,4443,0.14285714285714285,733593600,13613,185561088,182300,1477279,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47167550,1292160,2548830208,181212,320476,2970000000,167560
1,48,Tue Apr 18 11:20:16 CEST 2017,1492507216059,0,930857,0,4443,0.1,733593600,13613,185561088,182300,1477461,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47167690,1292160,2548830208,181212,320476,2980000000,167560
1,49,Tue Apr 18 11:20:16 CEST 2017,1492507216159,0,930857,0,4443,0.0,733593600,13613,185561088,182300,1477646,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47167830,1292160,2548830208,181212,320476,2980000000,167560
1,50,Tue Apr 18 11:20:16 CEST 2017,1492507216259,0,930857,0,4443,0.1,733593600,13613,185561088,182300,1477834,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47167967,1292160,2548830208,181212,320476,2990000000,167560
1,51,Tue Apr 18 11:20:16 CEST 2017,1492507216359,0,930857,0,4443,0.0,733593600,13613,185561088,182300,1478018,10940,29358,15165,447004,4,0,0,0,247674,0,716400,47168108,1292156,2548830208,181212,320476,2990000000,167560
2,1,Tue Apr 18 11:20:16 CEST 2017,1492507216590,0,930857,0,4443,0.6666666666666666,733593600,13613,183529472,182300,1479444,10940,29446,15077,446652,4,0,0,0,247674,0,716400,47169867,1296336,2548969472,177244,320476,3080000000,167657
2,2,Tue Apr 18 11:20:16 CEST 2017,1492507216690,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1481191,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47177189,1293080,2550022144,180560,320476,3080000000,167706
2,3,Tue Apr 18 11:20:16 CEST 2017,1492507216790,0,930857,0,4443,0.0,733593600,13613,184860672,182300,1481374,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47183500,1293080,2550022144,180528,320476,3080000000,167706
2,4,Tue Apr 18 11:20:16 CEST 2017,1492507216890,0,930857,0,4443,0.1,733593600,13613,184860672,182300,1481559,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47183635,1293080,2550022144,180528,320476,3090000000,167706
2,5,Tue Apr 18 11:20:16 CEST 2017,1492507216990,0,930857,0,4443,0.0,733593600,13613,184860672,182300,1481742,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47183777,1293080,2550022144,180528,320476,3090000000,167706
2,6,Tue Apr 18 11:20:17 CEST 2017,1492507217090,0,930857,0,4443,0.1,733593600,13613,184860672,182300,1481928,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47183916,1293080,2550022144,180528,320476,3100000000,167706
